canonical_label,n_videos
playing piano,3
playing poker,3
playing recorder,3
playing saxophone,3
playing squash or racquetball,3
playing tennis,3
playing trombone,3
playing trumpet,3
playing ukulele,3
playing violin,3
playing volleyball,3
playing xylophone,3
pole vault,3
presenting weather forecast,3
pull ups,3
pumping fist,3
pumping gas,3
punching bag,3
punching person boxing,3
push up,3
pushing car,3
pushing cart,3
pushing wheelchair,3
reading book,3
reading newspaper,3
recording music,3
riding a bike,3
riding camel,3
riding elephant,3
riding mechanical bull,3
riding mountain bike,3
riding mule,3
riding or walking with horse,3
riding scooter,3
riding unicycle,3
ripping paper,3
robot dancing,3
rock climbing,3
rock scissors paper,3
roller skating,3
running on treadmill,3
sailing,3
salsa dancing,3
sanding floor,3
scrambling eggs,3
scuba diving,3
setting table,3
shaking hands,3
shaking head,3
sharpening knives,3
sharpening pencil,3
shaving head,3
shaving legs,3
shearing sheep,3
shining shoes,3
shooting basketball,3
shooting goal soccer,3
shot put,3
shoveling snow,3
shredding paper,3
shuffling cards,3
side kick,3
sign language interpreting,3
singing,3
situp,3
skateboarding,3
ski jumping,3
skiing crosscountry,3
skiing not slalom or crosscountry,3
skiing slalom,3
skipping rope,3
skydiving,3
slacklining,3
slapping,3
sled dog racing,3
smoking,3
smoking hookah,3
snatch weight lifting,3
sneezing,3
sniffing,3
snorkeling,3
snowboarding,3
snowkiting,3
snowmobiling,3
somersaulting,3
spinning poi,3
spray painting,3
spraying,3
springboard diving,3
squat,3
sticking tongue out,3
stomping grapes,3
stretching arm,3
stretching leg,3
strumming guitar,3
surfing crowd,3
surfing water,3
sweeping floor,3
swimming backstroke,3
swimming breast stroke,3
swimming butterfly stroke,3
swing dancing,3
swinging legs,3
swinging on something,3
sword fighting,3
tai chi,3
taking a shower,3
tango dancing,3
tap dancing,3
tapping guitar,3
tapping pen,3
tasting beer,3
tasting food,3
testifying,3
texting,3
throwing axe,3
throwing ball,3
throwing discus,3
tickling,3
tobogganing,3
tossing coin,3
tossing salad,3
training dog,3
trapezing,3
trimming or shaving beard,3
trimming trees,3
triple jump,3
tying bow tie,3
tying knot not on a tie,3
tying tie,3
unboxing,3
unloading truck,3
using computer,3
using remote controller not gaming,3
using segway,3
vault,3
waiting in line,3
walking the dog,3
washing dishes,3
washing feet,3
washing hair,3
washing hands,3
water skiing,3
water sliding,3
watering plants,3
waxing back,3
waxing chest,3
waxing eyebrows,3
waxing legs,3
weaving basket,3
welding,3
whistling,3
windsurfing,3
wrapping present,3
wrestling,3
writing,3
yawning,3
yoga,3
zumba,3
